NAMESPACE                       NAME                                          READY   STATUS    RESTARTS   AGE
carts                           carts-67bc7b59bc-v7l4w                        1/1     Running   0          11h
catalog                         catalog-566675f9bc-d2vfj                      1/1     Running   0          11m
cert-manager                    cert-manager-bdc4bb9c7-98kkp                  1/1     Running   0          11h
cert-manager                    cert-manager-cainjector-7c8fdfd84c-7n6t5      1/1     Running   0          11h
cert-manager                    cert-manager-webhook-d89c5d6c7-s2p4n          1/1     Running   0          11h
checkout                        checkout-8886f6cb8-dfs4s                      1/1     Running   0          11h
kube-system                     aws-load-balancer-controller-d48dbf44-b52b8   1/1     Running   0          3h26m
kube-system                     aws-load-balancer-controller-d48dbf44-k48kr   1/1     Running   0          3h27m
kube-system                     aws-node-6qjmw                                2/2     Running   0          11h
kube-system                     aws-node-8nprd                                2/2     Running   0          11h
kube-system                     aws-node-k6wp7                                2/2     Running   0          11h
kube-system                     coredns-566b9b9d-2t44w                        1/1     Running   0          20h
kube-system                     coredns-566b9b9d-vqdl4                        1/1     Running   0          20h
kube-system                     kube-proxy-8w5rv                              1/1     Running   0          11h
kube-system                     kube-proxy-mg77j                              1/1     Running   0          11h
kube-system                     kube-proxy-zm94j                              1/1     Running   0          11h
opentelemetry-operator-system   opentelemetry-operator-6c8586d7dc-vl9ql       1/1     Running   0          11h
orders                          orders-7fcdf4d6ff-bgkjt                       1/1     Running   0          11m
ui                              ui-86c5d8879c-swtk6                           1/1     Running   0          3h38m
